sweep	organism	error_rate	coverage	k	threads	tool	wall_sec	cpu_sec	peak_rss_mb	unique_kmers
primary	mflorum	0.001	10	21	8	jellyfish	3.33	26.58	140.4	9029576
primary	mflorum	0.001	10	21	8	bqcount	1.28	6.64	1574.6	9029616
primary	mflorum	0.001	50	21	8	jellyfish	16.12	128.87	142.7	18381333
primary	mflorum	0.001	50	21	8	bqcount	4.85	32.55	1710.4	18381424
primary	mflorum	0.001	100	21	8	jellyfish	24.43	193.9	390.6	29557883
primary	mflorum	0.001	100	21	8	bqcount	9.94	66.92	1880.1	29558040
primary	mflorum	0.005	10	21	8	jellyfish	0.02	0.15	137.8	
primary	mflorum	0.005	10	21	8	bqcount	1.55	8.4	3110.6	17931944
primary	mflorum	0.005	50	21	8	jellyfish	17.25	137.17	390.6	58853548
primary	mflorum	0.005	50	21	8	bqcount	6.11	40.2	1710.4	58853660
primary	mflorum	0.005	100	21	8	jellyfish	35.76	280.71	755.6	101911364
primary	mflorum	0.005	100	21	8	bqcount	12.26	81.92	3416.1	101911539
primary	mflorum	0.02	10	21	8	jellyfish	4.09	32.19	390.6	44546197
primary	mflorum	0.02	10	21	8	bqcount	1.68	9.86	1574.6	44546253
primary	mflorum	0.02	50	21	8	jellyfish	27.07	207.78	1450.4	165085958
primary	mflorum	0.02	50	21	8	bqcount	8.35	51.5	6318.4	165086078
primary	mflorum	0.02	100	21	8	jellyfish	57.00	437.35	2793.7	268822221
primary	mflorum	0.02	100	21	8	bqcount	16.68	106.05	12632.1	268822421
primary	ecoli	0.001	10	21	8	jellyfish	2.25	17.86	139.2	6274058
primary	ecoli	0.001	10	21	8	bqcount	1.03	6.83	1564.3	6274058
primary	ecoli	0.001	50	21	8	jellyfish	12.03	96.13	140.6	12787767
primary	ecoli	0.001	50	21	8	bqcount	4.50	33.73	1658.8	12787767
primary	ecoli	0.001	100	21	8	jellyfish	17.74	141.78	142.5	20601399
primary	ecoli	0.001	100	21	8	bqcount	8.77	67.07	1776.8	20601399
primary	ecoli	0.005	10	21	8	jellyfish	2.30	18.28	140.2	12488735
primary	ecoli	0.005	10	21	8	bqcount	1.10	7.11	1564.3	12488735
primary	ecoli	0.005	50	21	8	jellyfish	13.11	103.61	390.7	41031970
primary	ecoli	0.005	50	21	8	bqcount	4.70	34.31	1658.7	41031970
primary	ecoli	0.005	100	21	8	jellyfish	23.57	181.98	755.7	71075895
primary	ecoli	0.005	100	21	8	bqcount	9.53	70.02	3312.8	71075895
primary	ecoli	0.02	10	21	8	jellyfish	3.56	27.42	390.6	31036805
primary	ecoli	0.02	10	21	8	bqcount	1.22	7.37	1564.3	31036805
primary	ecoli	0.02	50	21	8	jellyfish	15.64	121.3	755.6	115259714
primary	ecoli	0.02	50	21	8	bqcount	5.79	38.64	3194.7	115259714
primary	ecoli	0.02	100	21	8	jellyfish	35.58	276.98	1450.5	188239724
primary	ecoli	0.02	100	21	8	bqcount	12.25	81.7	6384.8	188239724
primary	yeast	0.001	10	21	8	jellyfish	5.12	40.88	268.1	16024923
primary	yeast	0.001	10	21	8	bqcount	2.63	18.7	1602.5	16024923
primary	yeast	0.001	50	21	8	jellyfish	28.50	227.74	270.6	32867502
primary	yeast	0.001	50	21	8	bqcount	11.89	90.03	1849.8	32867502
primary	yeast	0.001	100	21	8	jellyfish	61.42	486.04	755.6	52875289
primary	yeast	0.001	100	21	8	bqcount	23.92	182.21	2158.9	52875289
primary	yeast	0.005	10	21	8	jellyfish	6.56	50.78	268.6	32105451
primary	yeast	0.005	10	21	8	bqcount	2.71	18.76	1602.5	32105451
primary	yeast	0.005	50	21	8	jellyfish	38.88	309.15	755.6	105147638
primary	yeast	0.005	50	21	8	bqcount	13.16	95.68	3385.8	105147638
primary	yeast	0.005	100	21	8	jellyfish	66.15	520.88	1450.5	181606457
primary	yeast	0.005	100	21	8	bqcount	26.84	196.68	6767.0	181606457
primary	yeast	0.02	10	21	8	jellyfish	8.61	67.93	755.5	79904153
primary	yeast	0.02	10	21	8	bqcount	3.29	20.46	3138.5	79904153
primary	yeast	0.02	50	21	8	jellyfish	49.40	377.25	2793.5	295080415
primary	yeast	0.02	50	21	8	bqcount	17.40	113.65	12601.9	295080415
primary	yeast	0.02	100	21	8	jellyfish	104.27	795.94	5373.8	481015348
primary	yeast	0.02	100	21	8	bqcount	31.50	218.73	12910.9	481015348
primary	meta_90_10	0.001	100	21	8	jellyfish	82.26	657.74	508.0	69503599
primary	meta_90_10	0.001	100	21	8	bqcount	33.60	251.38	3931.0	69503599
primary	meta_90_10	0.005	100	21	8	jellyfish	89.22	710.11	1450.4	195576202
primary	meta_90_10	0.005	100	21	8	bqcount	38.08	269.93	7003.0	195576202
primary	meta_90_10	0.02	100	21	8	jellyfish	120.02	940.1	2793.5	461690970
primary	meta_90_10	0.02	100	21	8	bqcount	45.91	304.96	13147.0	461690970
primary	meta_50_50	0.001	100	21	8	jellyfish	79.20	633.19	507.2	73131553
primary	meta_50_50	0.001	100	21	8	bqcount	33.69	255.72	3931.0	73131553
primary	meta_50_50	0.005	100	21	8	jellyfish	95.63	746.08	2793.5	245395182
primary	meta_50_50	0.005	100	21	8	bqcount	38.10	276.77	7003.0	245395182
primary	meta_50_50	0.02	100	21	8	jellyfish	130.61	1001.25	5373.8	640595003
primary	meta_50_50	0.02	100	21	8	bqcount	65.01	390.83	25434.7	640595003
threads	ecoli	0.005	100	21	1	jellyfish	136.62	136.59	755.4	71075895
threads	ecoli	0.005	100	21	1	bqcount	68.96	68.32	3310.4	71075895
threads	ecoli	0.005	100	21	2	jellyfish	79.35	157.28	755.5	71075895
threads	ecoli	0.005	100	21	2	bqcount	33.66	66.44	3310.8	71075895
threads	ecoli	0.005	100	21	4	jellyfish	45.04	177.27	755.6	71075895
threads	ecoli	0.005	100	21	4	bqcount	18.80	68.07	3311.4	71075895
kmer	ecoli	0.005	100	15	8	jellyfish	23.13	182.75	242.1	48990504
kmer	ecoli	0.005	100	15	8	bqcount	7.48	56.5	1776.8	48990504
kmer	ecoli	0.005	100	31	8	jellyfish	25.00	194.73	1244.7	95579116
kmer	ecoli	0.005	100	31	8	bqcount	11.89	80.39	3312.8	95579116
